,Date,BTC price [USD],Gold price[USD],r√≥znica w % miedzy BTC a ZL
1750,2018-10-18,6595.51,1285.3,413.15
1751,2018-10-19,6509.61,1284.0,406.98
1752,2018-10-20,6463.58,,
1753,2018-10-21,6504.92,,
1754,2018-10-22,6504.78,1280.0,408.19
1755,2018-10-23,6493.89,1292.2,402.55
1756,2018-10-24,6476.85,1286.2,403.56
1757,2018-10-25,6489.77,1287.4,404.1
1758,2018-10-26,6466.29,1290.7,400.99
1759,2018-10-27,6472.17,,
1760,2018-10-28,6457.21,,
1761,2018-10-29,6449.37,1282.1,403.03
1762,2018-10-30,6307.51,1279.9,392.81
1763,2018-10-31,6301.61,1269.2,396.5
1764,2018-11-01,6338.78,1293.2,390.16
1765,2018-11-02,6373.08,1288.3,394.69
1766,2018-11-03,6390.42,,
1767,2018-11-04,6361.3,,
1768,2018-11-05,6454.0,1287.4,401.32
1769,2018-11-06,6437.76,1281.4,402.4
1770,2018-11-07,6477.84,1283.8,404.58
1771,2018-11-08,6536.83,1280.3,410.57
1772,2018-11-09,6444.97,1263.3,410.17
1773,2018-11-10,6377.4,,
1774,2018-11-11,6388.46,,
1775,2018-11-12,6408.53,1257.9,409.46
1776,2018-11-13,6384.75,1255.8,408.42
1777,2018-11-14,6358.25,1264.4,402.87
1778,2018-11-15,5756.77,1269.9,353.32
1779,2018-11-16,5658.73,1277.2,343.06
1780,2018-11-17,5592.58,,
1781,2018-11-18,5572.44,,
1782,2018-11-19,5616.29,1279.8,338.84
1783,2018-11-20,4848.78,1275.7,280.09
1784,2018-11-21,4491.98,1282.9,250.14
1785,2018-11-22,4616.44,1228.0,275.93
1786,2018-11-23,4312.31,1278.2,237.37
1787,2018-11-24,4352.98,,
1788,2018-11-25,3862.01,,
1789,2018-11-26,4010.72,1277.9,213.85
1790,2018-11-27,3793.35,1268.6,199.02
1791,2018-11-28,3828.45,1278.5,199.45
1792,2018-11-29,4256.55,1279.1,232.78
1793,2018-11-30,4278.77,1274.8,235.64
1794,2018-12-01,4013.52,,
1795,2018-12-02,4188.09,,
1796,2018-12-03,4140.6,1288.5,221.35
1797,2018-12-04,3894.21,1295.7,200.55
1798,2018-12-05,3956.94,1291.7,206.34
1799,2018-12-06,3744.98,1292.6,189.72
1800,2018-12-07,3484.94,1301.9,167.68
1801,2018-12-08,3425.69,,
1802,2018-12-09,3453.66,,
1803,2018-12-10,3588.44,1297.9,176.48
1804,2018-12-11,3472.98,1296.0,167.98
1805,2018-12-12,3407.28,1298.9,162.32
1806,2018-12-13,3487.73,1296.3,169.05
1807,2018-12-14,3308.11,1290.1,156.42
1808,2018-12-15,3242.42,,
1809,2018-12-16,3231.91,,
1810,2018-12-17,3246.64,1300.5,149.65
1811,2018-12-18,3556.54,1301.6,173.24
1812,2018-12-19,3714.09,1304.4,184.74
1813,2018-12-20,3734.55,1316.2,183.74
1814,2018-12-21,4135.19,1306.2,216.58
1815,2018-12-22,3899.83,,
1816,2018-12-23,4031.85,,
1817,2018-12-24,3995.17,1320.1,202.64
1818,2018-12-25,4075.15,1270.75,220.69
1819,2018-12-26,3821.52,1321.4,189.2
1820,2018-12-27,3848.21,1329.6,189.43
1821,2018-12-28,3638.9,1331.4,173.31
1822,2018-12-29,3923.19,,
1823,2018-12-30,3770.36,,
1824,2018-12-31,3865.26,1330.2,190.58
1825,2019-01-01,3737.91,1283.35,191.26
1826,2019-01-02,3855.88,1332.8,189.31
1827,2019-01-03,3931.31,1343.6,192.6
1828,2019-01-04,3822.87,1334.8,186.4
1829,2019-01-05,3856.62,,
1830,2019-01-06,3831.94,,
1831,2019-01-07,4071.77,1339.0,204.09
1832,2019-01-08,4032.25,1334.9,202.06
1833,2019-01-09,4020.97,1341.1,199.83
1834,2019-01-10,4016.92,1336.8,200.49
1835,2019-01-11,3646.25,1339.2,172.27
1836,2019-01-12,3656.9,,
1837,2019-01-13,3637.31,,
1838,2019-01-14,3531.96,1341.0,163.38
1839,2019-01-15,3682.48,1337.5,175.33
1840,2019-01-16,3600.16,1343.1,168.05
1841,2019-01-17,3621.43,1341.7,169.91
1842,2019-01-18,3658.41,1331.9,174.68
1843,2019-01-19,3625.73,,
1844,2019-01-20,3703.98,1282.05,188.91
1845,2019-01-21,3548.98,1279.05,177.47
1846,2019-01-22,3540.02,1332.2,165.73
1847,2019-01-23,3587.35,1333.1,169.1
1848,2019-01-24,3566.4,1328.7,168.41
1849,2019-01-25,3586.25,1347.1,166.22
1850,2019-01-26,3577.79,,
1851,2019-01-27,3576.3,,
1852,2019-01-28,3554.5,1352.9,162.73
1853,2019-01-29,3448.58,1358.7,153.81
1854,2019-01-30,3421.6,1359.1,151.75
1855,2019-01-31,3470.0,1367.9,153.67
1856,2019-02-01,3444.81,1365.0,152.37
1857,2019-02-02,3475.33,,
1858,2019-02-03,3506.22,,
1859,2019-02-04,3456.02,1362.2,153.71
1860,2019-02-05,3452.35,1362.5,153.38
1861,2019-02-06,3467.34,1357.7,155.38
1862,2019-02-07,3405.7,1357.5,150.88
1863,2019-02-08,3394.76,1361.7,149.3
1864,2019-02-09,3661.08,,
1865,2019-02-10,3664.38,,
1866,2019-02-11,3686.29,1355.1,172.03
1867,2019-02-12,3629.47,1357.1,167.44
1868,2019-02-13,3632.42,1358.5,167.38
1869,2019-02-14,3614.5,1357.1,166.34
1870,2019-02-15,3600.31,1365.1,163.74
1871,2019-02-16,3608.2,,
1872,2019-02-17,3619.55,1324.25,173.33
1873,2019-02-18,3670.74,1329.55,176.09
1874,2019-02-19,3910.8,1387.8,181.8
1875,2019-02-20,3926.53,1390.8,182.32
1876,2019-02-21,3987.18,1370.4,190.95
1877,2019-02-22,3944.88,1375.7,186.75
1878,2019-02-23,3983.48,,
1879,2019-02-24,4139.6,,
1880,2019-02-25,3766.89,1372.2,174.51
1881,2019-02-26,3848.33,1371.2,180.65
1882,2019-02-27,3831.45,1363.8,180.94
1883,2019-02-28,3833.23,1358.6,182.15
1884,2019-03-01,3850.08,1341.6,186.98
1885,2019-03-02,3834.62,,
1886,2019-03-03,3831.44,,
1887,2019-03-04,3814.58,1329.6,186.9
1888,2019-03-05,3730.98,1326.8,181.2
1889,2019-03-06,3872.25,1329.8,191.19
1890,2019-03-07,3876.85,1328.2,191.89
1891,2019-03-08,3886.82,1341.8,189.67
1892,2019-03-09,3875.96,,
1893,2019-03-10,3950.56,,
1894,2019-03-11,3928.17,1333.3,194.62
1895,2019-03-12,3881.09,1339.9,189.66
1896,2019-03-13,3892.51,1351.4,188.04
1897,2019-03-14,3877.77,1336.9,190.06
1898,2019-03-15,3885.21,1344.6,188.95
1899,2019-03-16,3936.5,,
1900,2019-03-17,4015.95,,
1901,2019-03-18,3994.92,1343.4,197.37
1902,2019-03-19,3998.77,1348.7,196.49
1903,2019-03-20,4029.11,1343.5,199.9
1904,2019-03-21,4056.4,1349.0,200.7
1905,2019-03-22,3992.34,1353.8,194.9
1906,2019-03-23,3999.06,,
1907,2019-03-24,4011.92,,
1908,2019-03-25,3994.11,1363.9,192.84
1909,2019-03-26,3935.89,1356.3,190.19
1910,2019-03-27,3947.74,1351.3,192.14
1911,2019-03-28,4048.51,1329.9,204.42
1912,2019-03-29,4037.37,1333.5,202.76
1913,2019-03-30,4115.55,,
1914,2019-03-31,4114.44,,
1915,2019-04-01,4114.16,1329.5,209.45
1916,2019-04-02,4152.53,1330.7,212.06
1917,2019-04-03,4882.88,1330.6,266.97
1918,2019-04-04,4959.81,1329.5,273.06
1919,2019-04-05,4911.24,1331.1,268.96
1920,2019-04-06,5028.77,,
1921,2019-04-07,5053.52,,
1922,2019-04-08,5189.39,1337.4,288.02
1923,2019-04-09,5268.71,1343.9,292.05
1924,2019-04-10,5175.81,1349.4,283.56
1925,2019-04-11,5310.18,1328.9,299.59
1926,2019-04-12,5035.02,1331.4,278.17
1927,2019-04-13,5072.85,,
1928,2019-04-14,5064.62,,
1929,2019-04-15,5152.51,1327.5,288.14
1930,2019-04-16,5036.18,1313.2,283.5
1931,2019-04-17,5196.65,1312.5,295.94
1932,2019-04-18,5220.37,1311.8,297.95
1933,2019-04-19,5276.31,1277.9,312.89
1934,2019-04-20,5277.04,,
1935,2019-04-21,5309.28,,
1936,2019-04-22,5281.83,1313.4,302.15
1937,2019-04-23,5377.19,1308.7,310.88
1938,2019-04-24,5518.16,1314.9,319.66
1939,2019-04-25,5434.19,1315.2,313.18
1940,2019-04-26,5195.61,1324.2,292.36
1941,2019-04-27,5292.83,,
1942,2019-04-28,5280.19,,
1943,2019-04-29,5301.29,1316.6,302.65
1944,2019-04-30,5260.65,1320.7,298.32
1945,2019-05-01,5269.79,1319.3,299.44
1946,2019-05-02,5326.67,1307.3,307.46
1947,2019-05-03,5390.16,1316.8,309.34
1948,2019-05-04,5657.14,,
1949,2019-05-05,5771.08,,
1950,2019-05-06,5717.66,1319.1,333.45
1951,2019-05-07,5684.47,1320.9,330.35
1952,2019-05-08,5755.72,1316.5,337.2
1953,2019-05-09,5936.72,1320.2,349.68
1954,2019-05-10,6146.91,1322.3,364.87
1955,2019-05-11,6348.02,,
1956,2019-05-12,7248.31,,
1957,2019-05-13,6978.63,1335.5,422.55
1958,2019-05-14,7823.11,1329.6,488.38
1959,2019-05-15,7992.69,1330.7,500.64
1960,2019-05-16,8206.9,1319.6,521.92
1961,2019-05-17,7885.96,1309.0,502.44
1962,2019-05-18,7362.22,,
1963,2019-05-19,7265.05,,
1964,2019-05-20,8193.7,1311.0,525.0
1965,2019-05-21,8007.03,1306.9,512.67
1966,2019-05-22,7952.5,1308.1,507.94
1967,2019-05-23,7625.93,1318.6,478.34
1968,2019-05-24,7880.29,1316.9,498.4
1969,2019-05-25,8003.26,,
1970,2019-05-26,8071.45,1284.15,528.54
1971,2019-05-27,8744.42,1284.95,580.53
1972,2019-05-28,8770.06,1310.2,569.37
1973,2019-05-29,8719.88,1313.5,563.87
1974,2019-05-30,8662.98,1319.9,556.34
1975,2019-05-31,8272.46,1337.9,518.32
1976,2019-06-01,8553.81,,
1977,2019-06-02,8554.8,,
1978,2019-06-03,8739.03,1353.4,545.71
1979,2019-06-04,8134.92,1354.6,500.54
1980,2019-06-05,7675.8,1358.8,464.9
1981,2019-06-06,7786.04,1366.9,469.61
1982,2019-06-07,7803.23,1370.4,469.41
1983,2019-06-08,7998.29,,
1984,2019-06-09,7931.34,,
1985,2019-06-10,7640.61,1354.8,463.97
1986,2019-06-11,8020.38,1356.9,491.08
1987,2019-06-12,7917.58,1362.3,481.19
1988,2019-06-13,8173.06,1368.8,497.1
1989,2019-06-14,8237.88,1369.6,501.48
1990,2019-06-15,8693.6,,
1991,2019-06-16,8859.47,,
1992,2019-06-17,8978.99,1367.7,556.5
1993,2019-06-18,9327.48,1375.5,578.12
1994,2019-06-19,9076.18,1373.5,560.81
1995,2019-06-20,9281.7,1420.3,553.5
1996,2019-06-21,9531.35,1423.4,569.62
1997,2019-06-22,10209.38,,
1998,2019-06-23,10668.63,,
1999,2019-06-24,10814.48,1441.4,650.28
2000,2019-06-25,11017.5,1441.8,664.15
2001,2019-06-26,11766.4,1438.6,717.91
2002,2019-06-27,12932.55,1435.4,800.97
2003,2019-06-28,11132.85,1437.5,674.46
2004,2019-06-29,12374.35,,
2005,2019-06-30,11890.38,,
2006,2019-07-01,10737.73,1413.9,659.44
2007,2019-07-02,10578.72,1433.1,638.17
2008,2019-07-03,10805.4,1446.1,647.21
2009,2019-07-04,11984.76,1423.55,741.89
2010,2019-07-05,11160.49,1426.3,682.48
2011,2019-07-06,10955.16,,
2012,2019-07-07,11232.04,,
2013,2019-07-08,11477.01,1426.8,704.39
2014,2019-07-09,12313.08,1427.6,762.5
2015,2019-07-10,12586.78,1439.9,774.14
2016,2019-07-11,12099.9,1434.6,743.43
2017,2019-07-12,11352.87,1440.2,688.28
2018,2019-07-13,11803.97,,
2019,2019-07-14,11389.1,,
2020,2019-07-15,10186.96,1441.5,606.69
2021,2019-07-16,10873.5,1439.3,655.47
2022,2019-07-17,9397.72,1451.6,547.4
2023,2019-07-18,9674.28,1456.4,564.26
2024,2019-07-19,10638.56,1454.7,631.32
2025,2019-07-20,10535.75,,
2026,2019-07-21,10764.9,,
2027,2019-07-22,10587.41,1455.2,627.56
2028,2019-07-23,10323.62,1450.0,611.97
2029,2019-07-24,9844.3,1452.1,577.94
2030,2019-07-25,9772.17,1443.1,577.17
2031,2019-07-26,9875.17,1448.1,581.94
2032,2019-07-27,9848.65,,
2033,2019-07-28,9473.99,,
2034,2019-07-29,9530.0,1449.2,557.6
2035,2019-07-30,9501.33,1457.7,551.8
2036,2019-07-31,9589.13,1453.7,559.64
2037,2019-08-01,10084.7,1448.4,596.26
2038,2019-08-02,10407.17,1472.9,606.58
2039,2019-08-03,10529.55,,
2040,2019-08-04,10814.57,,
2041,2019-08-05,10980.23,1491.0,636.43
2042,2019-08-06,11787.99,1498.6,686.6
2043,2019-08-07,11465.67,1533.6,647.63
2044,2019-08-08,11960.82,1524.0,684.83
2045,2019-08-09,11996.41,1523.3,687.53
2046,2019-08-10,11856.64,,
2047,2019-08-11,11282.22,,
2048,2019-08-12,11566.84,1532.0,655.02
2049,2019-08-13,11386.26,1529.3,644.54
2050,2019-08-14,10858.12,1542.9,603.75
2051,2019-08-15,10016.96,1545.9,547.97
2052,2019-08-16,10302.17,1538.2,569.75
2053,2019-08-17,10359.44,,
2054,2019-08-18,10214.52,,
2055,2019-08-19,10317.6,1526.2,576.03
2056,2019-08-20,10917.26,1530.4,613.36
2057,2019-08-21,10760.56,1530.4,603.12
2058,2019-08-22,10129.4,1523.4,564.92
2059,2019-08-23,10111.98,1552.5,551.34
2060,2019-08-24,10405.81,,
2061,2019-08-25,10143.8,,
2062,2019-08-26,10135.06,1552.1,552.99
2063,2019-08-27,10360.28,1567.2,561.07
2064,2019-08-28,10171.95,1564.5,550.17
2065,2019-08-29,9717.82,1552.6,525.91
2066,2019-08-30,9484.55,1545.5,513.69
2067,2019-08-31,9577.99,,
2068,2019-09-01,9600.9,1538.05,524.23
2069,2019-09-02,9769.79,1535.15,536.41
2070,2019-09-03,10386.64,1571.9,560.77
2071,2019-09-04,10621.29,1576.2,573.85
2072,2019-09-05,10584.16,1541.3,586.7
2073,2019-09-06,10577.8,1531.5,590.68
2074,2019-09-07,10317.47,,
2075,2019-09-08,10487.21,,
2076,2019-09-09,10406.31,1527.6,581.22
2077,2019-09-10,10313.66,1515.8,580.41
2078,2019-09-11,10101.03,1520.0,564.54
2079,2019-09-12,10159.32,1524.5,566.4
2080,2019-09-13,10420.16,1517.0,586.89
2081,2019-09-14,10363.9,,
2082,2019-09-15,10361.33,,
2083,2019-09-16,10310.43,1528.7,574.46
2084,2019-09-17,10265.63,1530.5,570.74
2085,2019-09-18,10190.36,1532.8,564.82
2086,2019-09-19,10157.59,1523.2,566.86
2087,2019-09-20,10275.88,1532.0,570.75
2088,2019-09-21,10173.11,,
2089,2019-09-22,9979.49,,
2090,2019-09-23,10033.05,1548.5,547.92
2091,2019-09-24,9683.38,1557.1,521.89
2092,2019-09-25,8553.61,1528.9,459.46
2093,2019-09-26,8432.23,1532.0,450.41
2094,2019-09-27,8055.64,1523.3,428.83
2095,2019-09-28,8193.9,,
2096,2019-09-29,8225.0,,
2097,2019-09-30,8056.74,1489.8,440.79
2098,2019-10-01,8307.74,1505.6,451.79
2099,2019-10-02,8322.92,1524.6,445.91
2100,2019-10-03,8382.03,1530.1,447.81
2101,2019-10-04,8236.17,1529.4,438.52
2102,2019-10-05,8155.48,,
2103,2019-10-06,8147.69,,
2104,2019-10-07,7869.74,1521.1,417.37
2105,2019-10-08,8212.02,1520.7,440.02
2106,2019-10-09,8190.0,1529.7,435.4
2107,2019-10-10,8587.92,1517.9,465.78
2108,2019-10-11,8586.9,1505.4,470.41
2109,2019-10-12,8269.73,,
2110,2019-10-13,8308.01,,
2111,2019-10-14,8283.76,1514.4,447.0
2112,2019-10-15,8353.54,1500.4,456.75
2113,2019-10-16,8162.16,1510.8,440.25
2114,2019-10-17,8002.51,1515.1,428.18
2115,2019-10-18,8076.78,1510.4,434.74
2116,2019-10-19,7954.15,,
2117,2019-10-20,7960.04,,
2118,2019-10-21,8231.06,1504.6,447.06
2119,2019-10-22,8222.52,1503.9,446.75
2120,2019-10-23,8026.76,1512.2,430.8
2121,2019-10-24,7469.56,1521.3,391.0
2122,2019-10-25,7431.88,1522.2,388.23
2123,2019-10-26,8666.79,,
2124,2019-10-27,9259.8,,
2125,2019-10-28,9551.54,1512.8,531.38
2126,2019-10-29,9218.76,1507.5,511.53
2127,2019-10-30,9433.35,1513.6,523.24
2128,2019-10-31,9164.62,1531.3,498.49
2129,2019-11-01,9147.98,1528.4,498.53
2130,2019-11-02,9252.99,,
2131,2019-11-03,9301.18,,
2132,2019-11-04,9206.16,1528.4,502.34
2133,2019-11-05,9418.05,1500.9,527.49
2134,2019-11-06,9310.19,1510.5,516.36
2135,2019-11-07,9343.34,1483.6,529.77
2136,2019-11-08,9204.24,1480.0,521.91
2137,2019-11-09,8766.04,,
2138,2019-11-10,8809.41,,
2139,2019-11-11,9037.12,1474.2,513.02
2140,2019-11-12,8717.81,1470.7,492.77
2141,2019-11-13,8801.52,1480.4,494.54
2142,2019-11-14,8762.42,1490.5,487.88
2143,2019-11-15,8632.32,1485.7,481.03
2144,2019-11-16,8457.69,,
2145,2019-11-17,8482.7,,
2146,2019-11-18,8503.93,1489.2,471.04
2147,2019-11-19,8175.99,1491.7,448.1
2148,2019-11-20,8120.8,1491.5,444.47
2149,2019-11-21,8081.81,1481.1,445.66
2150,2019-11-22,7617.07,1481.2,414.25
2151,2019-11-23,7286.35,,
2152,2019-11-24,7324.03,,
2153,2019-11-25,6907.4,1474.7,368.39
2154,2019-11-26,7130.25,1477.8,382.49
2155,2019-11-27,7163.63,1471.1,386.96
2156,2019-11-28,7523.83,1462.25,414.54
2157,2019-11-29,7431.0,1483.2,401.01
2158,2019-11-30,7757.47,,
2159,2019-12-01,7557.72,,
2160,2019-12-02,7402.69,1479.4,400.38
2161,2019-12-03,7309.59,1494.8,389.0
2162,2019-12-04,7296.77,1490.6,389.52
2163,2019-12-05,7192.85,1493.6,381.58
2164,2019-12-06,7395.97,1475.8,401.15
2165,2019-12-07,7547.19,,
2166,2019-12-08,7504.83,,
2167,2019-12-09,7522.39,1475.6,409.79
2168,2019-12-10,7337.42,1478.8,396.17
2169,2019-12-11,7220.76,1485.8,385.98
2170,2019-12-12,7202.31,1483.1,385.63
2171,2019-12-13,7189.16,1492.3,381.75
2172,2019-12-14,7251.87,,
2173,2019-12-15,7067.74,,
2174,2019-12-16,7111.14,1491.6,376.75
2175,2019-12-17,6879.54,1491.9,361.13
2176,2019-12-18,6612.12,1489.9,343.8
2177,2019-12-19,7284.29,1495.5,387.08
2178,2019-12-20,7150.86,1492.0,379.28
2179,2019-12-21,7190.17,,
2180,2019-12-22,7143.2,,
2181,2019-12-23,7514.41,1499.9,400.99
2182,2019-12-24,7322.08,1516.0,382.99
2183,2019-12-25,7250.69,1504.05,382.08
2184,2019-12-26,7192.72,1525.7,371.44
2185,2019-12-27,7194.4,1529.7,370.31
2186,2019-12-28,7243.93,,
2187,2019-12-29,7301.07,,
2188,2019-12-30,7385.36,1530.3,382.61
2189,2019-12-31,7219.6,1535.1,370.3
2190,2020-01-01,7168.31,1520.95,371.3
2191,2020-01-02,7175.68,1540.1,365.92
2192,2020-01-03,6944.33,1564.5,343.87
2193,2020-01-04,7326.35,,
2194,2020-01-05,7347.89,,
2195,2020-01-06,7351.57,1580.9,365.02
2196,2020-01-07,7759.24,1586.3,389.14
2197,2020-01-08,8165.47,1572.3,419.33
2198,2020-01-09,8042.65,1566.4,413.45
2199,2020-01-10,7817.92,1572.1,397.29
2200,2020-01-11,8184.66,,
2201,2020-01-12,8021.49,,
2202,2020-01-13,8173.97,1562.7,423.07
2203,2020-01-14,8105.24,1556.5,420.73
2204,2020-01-15,8842.42,1565.6,464.79
2205,2020-01-16,8813.89,1562.2,464.2
2206,2020-01-17,8722.03,1572.3,454.73
2207,2020-01-18,8900.34,,
2208,2020-01-19,8910.85,1557.05,472.29
2209,2020-01-20,8703.36,1561.25,457.46
2210,2020-01-21,8626.47,1569.9,449.49
2211,2020-01-22,8722.26,1568.7,456.02
2212,2020-01-23,8658.94,1577.3,448.97
2213,2020-01-24,8388.11,1583.9,429.59
2214,2020-01-25,8428.17,,
2215,2020-01-26,8327.36,,
2216,2020-01-27,8588.42,1589.5,440.32
2217,2020-01-28,8895.78,1581.7,462.42
2218,2020-01-29,9385.69,1582.0,493.28
2219,2020-01-30,9279.81,1595.1,481.77
2220,2020-01-31,9502.37,1593.8,496.21
2221,2020-02-01,9333.77,,
2222,2020-02-02,9378.09,,
2223,2020-02-03,9314.56,1588.3,486.45
2224,2020-02-04,9284.51,1561.4,494.63
2225,2020-02-05,9162.14,1568.7,484.06
2226,2020-02-06,9614.9,1575.8,510.16
2227,2020-02-07,9755.66,1579.2,517.76
2228,2020-02-08,9807.54,,
2229,2020-02-09,9907.12,,
2230,2020-02-10,10162.41,1585.4,541.0
2231,2020-02-11,9854.79,1575.9,525.34
2232,2020-02-12,10275.38,1577.3,551.45
2233,2020-02-13,10354.3,1584.5,553.47
2234,2020-02-14,10242.43,1591.9,543.41
2235,2020-02-15,10368.53,,
2236,2020-02-16,9904.17,1586.25,524.38
2237,2020-02-17,9937.67,1587.05,526.17
2238,2020-02-18,9703.93,1609.3,502.99
2239,2020-02-19,10180.65,1617.5,529.41
2240,2020-02-20,9604.72,1626.2,490.62
2241,2020-02-21,9606.86,1654.6,480.62
2242,2020-02-22,9696.58,,
2243,2020-02-23,9669.63,,
2244,2020-02-24,9989.39,1682.4,493.76
2245,2020-02-25,9663.75,1655.8,483.63
2246,2020-02-26,9309.15,1648.9,464.57
2247,2020-02-27,8785.52,1648.2,433.04
2248,2020-02-28,8804.72,1571.8,460.17
2249,2020-02-29,8712.35,,
2250,2020-03-01,8531.42,,
2251,2020-03-02,8534.17,1599.5,433.55
2252,2020-03-03,8912.82,1648.9,440.53
2253,2020-03-04,8754.34,1647.2,431.47
2254,2020-03-05,8758.9,1672.0,423.86
2255,2020-03-06,9067.39,1676.1,440.98
2256,2020-03-07,9155.89,,
2257,2020-03-08,8898.63,,
2258,2020-03-09,8039.38,1678.6,378.93
2259,2020-03-10,7931.94,1663.3,376.88
2260,2020-03-11,7885.46,1645.4,379.24
2261,2020-03-12,7936.65,1593.2,398.16
2262,2020-03-13,4830.21,1519.5,217.88
2263,2020-03-14,5609.03,,
2264,2020-03-15,5166.26,,
2265,2020-03-16,5348.44,1488.6,259.29
2266,2020-03-17,5026.35,1528.1,228.93
2267,2020-03-18,5357.61,1480.6,261.85
2268,2020-03-19,5410.23,1482.3,264.99
2269,2020-03-20,6195.2,1488.1,316.32
2270,2020-03-21,6226.44,,
2271,2020-03-22,6189.85,,
2272,2020-03-23,5822.62,1572.7,270.23
2273,2020-03-24,6502.16,1663.3,290.92
2274,2020-03-25,6768.49,1634.3,314.15
2275,2020-03-26,6698.46,1660.3,303.45
2276,2020-03-27,6763.75,1654.1,308.91
2277,2020-03-28,6369.09,,
2278,2020-03-29,6260.95,,
2279,2020-03-30,5885.41,1643.2,258.17
2280,2020-03-31,6405.29,1596.6,301.18
2281,2020-04-01,6428.28,1591.4,303.94
2282,2020-04-02,6652.87,1637.7,306.23
2283,2020-04-03,6809.11,1645.7,313.75
2284,2020-04-04,6741.67,,
2285,2020-04-05,6871.69,,
2286,2020-04-06,6777.44,1693.9,300.11
2287,2020-04-07,7343.2,1683.7,336.13
2288,2020-04-08,7205.55,1684.3,327.81
2289,2020-04-09,7365.03,1752.8,320.19
2290,2020-04-10,7293.69,1740.6,319.03
2291,2020-04-11,6873.24,,
2292,2020-04-12,6891.6,,
2293,2020-04-13,6915.37,1761.4,292.61
2294,2020-04-14,6857.66,1768.9,287.68
2295,2020-04-15,6871.95,1740.2,294.89
2296,2020-04-16,6623.8,1731.7,282.5
2297,2020-04-17,7112.27,1698.8,318.66
2298,2020-04-18,7034.89,,
2299,2020-04-19,7259.36,,
2300,2020-04-20,7130.04,1711.2,316.67
2301,2020-04-21,6840.24,1687.8,305.28
2302,2020-04-22,6852.52,1738.3,294.21
2303,2020-04-23,7130.99,1745.4,308.56
2304,2020-04-24,7477.6,1735.6,330.84
2305,2020-04-25,7507.08,,
2306,2020-04-26,7549.52,,
2307,2020-04-27,7699.27,1723.8,346.65
2308,2020-04-28,7790.66,1722.2,352.37
2309,2020-04-29,7765.33,1713.4,353.21
